Location,Status
Alice's home,Alice reading a book with her sister
Alice's imagination,Alice falling down a rabbit-hole
Wonderland,Alice encountering strange doors
Alice's dream world,Alice sitting in a pool of tears
Wonderland,White Rabbit dropping his fan and gloves
Wonderland,Alice realizing the ominous nature of her situation
Alice's mind,Alice reflecting on her shift from ordinary life
Alice's identity,Alice questioning who she really is
Alice's thoughts,Alice dismissing the idea of being another child
Alice's confusion,Alice struggling with reciting multiplication tables
Wonderland,Alice hearing the White Rabbit's lament
Wonderland,Alice finding a jar of orange marmalade
Wonderland,Alice landing safely at the bottom of the rabbit-hole
Wonderland,Alice encountering the Mock Turtle
Wonderland,Alice observing the Queen of Hearts in a rage
Wonderland,Alice watching the gardeners in fear
Alice's beliefs,Alice clinging to her faith in the world above-ground
Alice's curiosity,Alice burning with a desire to pursue the White Rabbit
Alice's emotions,Alice crying in a pool of tears
Wonderland,Alice realizing the comedic nature of the dream
In a tunnel lined with shelves,Alice finding a jar of orange marmalade
"At the bottom of a long, slow fall",Alice hearing the White Rabbit's anxious lament
In a hall with strange doors,Alice refraining from opening them
In Wonderland,Observing the mad creatures never laughing
In a pool of tears,Alice crying until the pool feels gigantic
Encountering the White Rabbit again,Alice startling him with her long neck
Picking up the White Rabbit's fan and gloves,Alice commenting on the queer day
Reflecting on her adventure,Alice trying to relate it to her past order
Realizing her old world is collapsing,Alice attempting to re-establish her identity
Questioning her identity as Mabel,Alice dismissing the idea due to her knowledge
Recalling logical certainties like arithmetic,Alice deepening her uncertainty
Attempting to recite her multiplication tables,Alice struggling with the correct answers
Contemplating her confusion,Alice pondering the impossibility of her situation
Reflecting on her journey,Alice trying to understand the dream-like quality of her experience
Admiring the whimsical nature of Wonderland,Alice finding the creatures both amusing and scary
Attempting to make sense of her surroundings,Alice grasping at familiar references
Examining the juxtaposition of reality and fantasy,Alice navigating the blurred lines between the two
Trying to hold onto her old self,Alice resisting the transformative effects of her adventure
Struggling to find her place in this new world,Alice grappling with her shifting sense of identity
Acknowledging the challenges ahead,Alice steeling herself for the uncertainties of her journey
Reading room,Alice finds the book tedious and longs for more vivid experiences.
